2021/01/23	12:55:07.142

Temps (ms)	Expediteur			Message
19733		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
19835		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
19864		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
19938		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.9780527353286743
20040		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 1.1817938089370728
20142		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 1.3855339288711548
20244		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 1.5896483659744263
20346		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 1.7931748628616333
20447		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 1.996881127357483
20476		Interface		SpeedCmd C3PO_ghost 0 0 0.0
20476		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
20505		Interface		SpeedCmd C3PO_ghost 0 0 0.0
20505		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
20546		Interface		SpeedCmd C3PO_ghost 0 0 0.0
20546		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
20549		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 2.199690341949463
20597		Interface		SpeedCmd C3PO_ghost 0 0 0.0
20597		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
20626		Interface		SpeedCmd C3PO_ghost 0 0 0.0
20626		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
20650		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 2.4027810096740723
20679		Interface		SpeedCmd C3PO_ghost 0 0 0.0
20680		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
20706		Interface		SpeedCmd C3PO_ghost 0 0 0.0
20706		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
20747		Interface		SpeedCmd C3PO_ghost 0 0 0.0
20747		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
20752		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 2.5047197341918945
20817		Interface		SpeedCmd C3PO_ghost 0 0 0.0
20817		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
20828		Interface		SpeedCmd C3PO_ghost 0 0 0.0
20828		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
20854		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 2.708411693572998
20887		Interface		SpeedCmd C3PO_ghost 0 0 0.0
20887		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
20908		Interface		SpeedCmd C3PO_ghost 0 0 0.0
20908		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
20949		Interface		SpeedCmd C3PO_ghost 0 0 0.0
20949		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
20956		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 2.9115753173828125
20998		C3PO		ActuatorReport C3PO_ghost LED1 0
21016		Interface		SpeedCmd C3PO_ghost 0 0 0.0
21016		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
21029		Interface		SpeedCmd C3PO_ghost 0 0 0.0
21029		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
21057		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 3.0133438110351562
21086		Interface		SpeedCmd C3PO_ghost 0 0 0.0
21086		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
21109		Interface		SpeedCmd C3PO_ghost 0 0 0.0
21109		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
21149		Interface		SpeedCmd C3PO_ghost 0 0 0.0
21149		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
21159		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 3.2161436080932617
21207		Interface		SpeedCmd C3PO_ghost 0 0 0.0
21207		Interface		SpeedCmd C3PO_ghost 0 0 2.0000000002611458
21207		Interface		SpeedCmd C3PO_ghost 1 0 2.0000000002611458
21208		Interface		SpeedCmd C3PO_ghost 1 0 0.0
21260		C3PO		PosReport C3PO_ghost 2479.35400390625 1490.3245849609375 3.2161436080932617
21362		C3PO		PosReport C3PO_ghost 2448.954833984375 1488.0540771484375 3.2161436080932617
21464		C3PO		PosReport C3PO_ghost 2418.4794921875 1485.77783203125 3.2161436080932617
21566		C3PO		PosReport C3PO_ghost 2388.069580078125 1483.506591796875 3.2161436080932617
21667		C3PO		PosReport C3PO_ghost 2357.628662109375 1481.23291015625 3.2161436080932617
21769		C3PO		PosReport C3PO_ghost 2327.197021484375 1478.9599609375 3.2161436080932617
