2021/01/23	12:55:07.142

Temps (ms)	Commande
31175		SpeedCmd C3PO -1 0 -2.0000000002611458
31175		SpeedCmd C3PO -1 0 0.0
31176		SpeedCmd C3PO -1 0 -2.0000000002611458
31201		SpeedCmd C3PO -1 0 0.0
31201		SpeedCmd C3PO -1 0 -2.0000000002611458
31244		SpeedCmd C3PO -1 0 0.0
31244		SpeedCmd C3PO -1 0 -2.0000000002611458
31281		SpeedCmd C3PO -1 0 0.0
31281		SpeedCmd C3PO -1 0 -2.0000000002611458
31376		SpeedCmd C3PO -1 0 0.0
31376		SpeedCmd C3PO -1 0 -2.0000000002611458
31376		SpeedCmd C3PO -1 0 0.0
31376		SpeedCmd C3PO -1 0 -2.0000000002611458
31401		SpeedCmd C3PO -1 0 0.0
31402		SpeedCmd C3PO -1 0 -2.0000000002611458
31444		SpeedCmd C3PO -1 0 0.0
31444		SpeedCmd C3PO -1 0 -2.0000000002611458
31482		SpeedCmd C3PO -1 0 0.0
31482		SpeedCmd C3PO -1 0 -2.0000000002611458
31494		SpeedCmd C3PO -2 0 -2.0000000002611458
31582		SpeedCmd C3PO -2 0 0.0
31582		SpeedCmd C3PO -2 0 -2.0000000002611458
31582		SpeedCmd C3PO -2 0 0.0
31582		SpeedCmd C3PO -2 0 -2.0000000002611458
31602		SpeedCmd C3PO -2 0 0.0
31602		SpeedCmd C3PO -2 0 -2.0000000002611458
31646		SpeedCmd C3PO -2 0 0.0
31646		SpeedCmd C3PO -2 0 -2.0000000002611458
31682		SpeedCmd C3PO -2 0 0.0
31682		SpeedCmd C3PO -2 0 -2.0000000002611458
31785		SpeedCmd C3PO -2 0 0.0
31785		SpeedCmd C3PO -2 0 -2.0000000002611458
31785		SpeedCmd C3PO -2 0 0.0
31785		SpeedCmd C3PO -2 0 -2.0000000002611458
31804		SpeedCmd C3PO -2 0 0.0
31804		SpeedCmd C3PO -2 0 -2.0000000002611458
31855		SpeedCmd C3PO -2 0 0.0
31855		SpeedCmd C3PO -2 0 -2.0000000002611458
31884		SpeedCmd C3PO -2 0 0.0
31884		SpeedCmd C3PO -2 0 -2.0000000002611458
31982		SpeedCmd C3PO -2 0 0.0
31982		SpeedCmd C3PO -2 0 -2.0000000002611458
31982		SpeedCmd C3PO -2 0 0.0
31982		SpeedCmd C3PO -2 0 -2.0000000002611458
32005		SpeedCmd C3PO -2 0 0.0
32005		SpeedCmd C3PO -2 0 -2.0000000002611458
32063		SpeedCmd C3PO -2 0 0.0
32063		SpeedCmd C3PO -2 0 -2.0000000002611458
32085		SpeedCmd C3PO -2 0 0.0
32085		SpeedCmd C3PO -2 0 -2.0000000002611458
32125		SpeedCmd C3PO -2 0 0.0
32126		SpeedCmd C3PO -2 0 -2.0000000002611458
32179		SpeedCmd C3PO -2 0 0.0
32179		SpeedCmd C3PO -2 0 -2.0000000002611458
32206		SpeedCmd C3PO -2 0 0.0
32206		SpeedCmd C3PO -2 0 -2.0000000002611458
32271		SpeedCmd C3PO -2 0 0.0
32684		SpeedCmd C3PO -2 0 2.0000000002611458
33289		SpeedCmd C3PO -2 0 0.0
33289		SpeedCmd C3PO -2 0 2.0000000002611458
33323		SpeedCmd C3PO -2 0 0.0
33324		SpeedCmd C3PO -2 0 2.0000000002611458
33389		SpeedCmd C3PO -2 0 0.0
33389		SpeedCmd C3PO -2 0 2.0000000002611458
33404		SpeedCmd C3PO -2 0 0.0
33405		SpeedCmd C3PO -2 0 2.0000000002611458
33445		SpeedCmd C3PO -2 0 0.0
33445		SpeedCmd C3PO -2 0 2.0000000002611458
33486		SpeedCmd C3PO -2 0 0.0
33486		SpeedCmd C3PO -2 0 2.0000000002611458
33526		SpeedCmd C3PO -2 0 0.0
33526		SpeedCmd C3PO -2 0 2.0000000002611458
33593		SpeedCmd C3PO -2 0 0.0
33593		SpeedCmd C3PO -2 0 2.0000000002611458
33606		SpeedCmd C3PO -2 0 0.0
33606		SpeedCmd C3PO -2 0 2.0000000002611458
33646		SpeedCmd C3PO -2 0 0.0
33646		SpeedCmd C3PO -2 0 2.0000000002611458
33686		SpeedCmd C3PO -2 0 0.0
33686		SpeedCmd C3PO -2 0 2.0000000002611458
33726		SpeedCmd C3PO -2 0 0.0
33727		SpeedCmd C3PO -2 0 2.0000000002611458
33783		SpeedCmd C3PO 0 0 2.0000000002611458
33783		SpeedCmd C3PO 0 0 0.0
33783		SpeedCmd C3PO 0 0 2.0000000002611458
33807		SpeedCmd C3PO 0 0 0.0
33807		SpeedCmd C3PO 0 0 2.0000000002611458
33847		SpeedCmd C3PO 0 0 0.0
33847		SpeedCmd C3PO 0 0 2.0000000002611458
33852		SpeedCmd C3PO 0 0 0.0
34134		SpeedCmd C3PO 2 0 0.0
34643		SpeedCmd C3PO 2 0 -2.0000000002611458
35244		SpeedCmd C3PO 2 0 0.0
35244		SpeedCmd C3PO 2 0 -2.0000000002611458
35317		SpeedCmd C3PO 2 0 0.0
35317		SpeedCmd C3PO 2 0 -2.0000000002611458
35326		SpeedCmd C3PO 2 0 0.0
35326		SpeedCmd C3PO 2 0 -2.0000000002611458
35364		SpeedCmd C3PO 2 0 0.0
35364		SpeedCmd C3PO 2 0 -2.0000000002611458
35411		SpeedCmd C3PO 2 0 0.0
35411		SpeedCmd C3PO 2 0 -2.0000000002611458
35444		SpeedCmd C3PO 2 0 0.0
35444		SpeedCmd C3PO 2 0 -2.0000000002611458
35547		SpeedCmd C3PO 2 0 0.0
35547		SpeedCmd C3PO 2 0 -2.0000000002611458
35547		SpeedCmd C3PO 2 0 0.0
35547		SpeedCmd C3PO 2 0 -2.0000000002611458
35565		SpeedCmd C3PO 2 0 0.0
35565		SpeedCmd C3PO 2 0 -2.0000000002611458
35649		SpeedCmd C3PO 2 0 0.0
35649		SpeedCmd C3PO 2 0 -2.0000000002611458
35649		SpeedCmd C3PO 2 0 0.0
35649		SpeedCmd C3PO 2 0 -2.0000000002611458
35716		SpeedCmd C3PO 2 0 0.0
35716		SpeedCmd C3PO 2 0 -2.0000000002611458
35726		SpeedCmd C3PO 2 0 0.0
35726		SpeedCmd C3PO 2 0 -2.0000000002611458
35766		SpeedCmd C3PO 2 0 0.0
35766		SpeedCmd C3PO 2 0 -2.0000000002611458
35845		SpeedCmd C3PO 2 0 0.0
35845		SpeedCmd C3PO 2 0 -2.0000000002611458
35851		SpeedCmd C3PO 2 0 0.0
35851		SpeedCmd C3PO 2 0 -2.0000000002611458
35921		SpeedCmd C3PO 2 0 0.0
35921		SpeedCmd C3PO 2 0 -2.0000000002611458
35931		SpeedCmd C3PO 2 0 0.0
35931		SpeedCmd C3PO 2 0 -2.0000000002611458
35971		SpeedCmd C3PO 2 0 0.0
35971		SpeedCmd C3PO 2 0 -2.0000000002611458
36055		SpeedCmd C3PO 2 0 0.0
36055		SpeedCmd C3PO 2 0 -2.0000000002611458
36055		SpeedCmd C3PO 2 0 0.0
36055		SpeedCmd C3PO 2 0 -2.0000000002611458
36124		SpeedCmd C3PO 2 0 0.0
36124		SpeedCmd C3PO 2 0 -2.0000000002611458
36133		SpeedCmd C3PO 2 0 0.0
36133		SpeedCmd C3PO 2 0 -2.0000000002611458
36174		SpeedCmd C3PO 2 0 0.0
36175		SpeedCmd C3PO 2 0 -2.0000000002611458
36255		SpeedCmd C3PO 2 0 0.0
36256		SpeedCmd C3PO 2 0 -2.0000000002611458
36256		SpeedCmd C3PO 2 0 0.0
